consent_key.keys,consent_key.rt,recalled,recalled_rt,recall_acc,example_recall.thisRepN,example_recall.thisTrialN,example_recall.thisN,example_recall.thisIndex,example_recall.ran,file,word,participant,please enter your date of birth (dd/mm/yyyy),date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,list,prac_learn_study_loop.thisRepN,prac_learn_study_loop.thisTrialN,prac_learn_study_loop.thisN,prac_learn_study_loop.thisIndex,prac_learn_study_loop.ran,image,prac_learn_test_loop.thisRepN,prac_learn_test_loop.thisTrialN,prac_learn_test_loop.thisN,prac_learn_test_loop.thisIndex,prac_learn_test_loop.ran,learn_study_loop.thisRepN,learn_study_loop.thisTrialN,learn_study_loop.thisN,learn_study_loop.thisIndex,learn_study_loop.ran,list_no,block_no,learn_test_loop.thisRepN,learn_test_loop.thisTrialN,learn_test_loop.thisN,learn_test_loop.thisIndex,learn_test_loop.ran,learn_blocks.thisRepN,learn_blocks.thisTrialN,learn_blocks.thisN,learn_blocks.thisIndex,learn_blocks.ran,block_csv,key_resp_13.keys,key_resp_13.rt,learn_blocks_loop.thisRepN,learn_blocks_loop.thisTrialN,learn_blocks_loop.thisN,learn_blocks_loop.thisIndex,learn_blocks_loop.ran,final_learn_test.thisRepN,final_learn_test.thisTrialN,final_learn_test.thisN,final_learn_test.thisIndex,final_learn_test.ran,prac_wm_test_loop.thisRepN,prac_wm_test_loop.thisTrialN,prac_wm_test_loop.thisN,prac_wm_test_loop.thisIndex,prac_wm_test_loop.ran,wm_recalled1,wm_recall_rt1,wm_probed1,wm_recall_acc1,wm_recalled2,wm_recall_rt2,wm_probed2,wm_recall_acc2,wm_recalled3,wm_recall_rt3,wm_probed3,wm_recall_acc3,wm_recalled4,wm_recall_rt4,wm_probed4,wm_recall_acc4,prac_wm_trial_loop.thisRepN,prac_wm_trial_loop.thisTrialN,prac_wm_trial_loop.thisN,prac_wm_trial_loop.thisIndex,prac_wm_trial_loop.ran,word1,image1,file1,item_type1,word2,image2,file2,item_type2,word4,image4,file4,item_type4,word3,image3,file3,item_type3,wm_test_loop.thisRepN,wm_test_loop.thisTrialN,wm_test_loop.thisN,wm_test_loop.thisIndex,wm_test_loop.ran,wm_trial_loop.thisRepN,wm_trial_loop.thisTrialN,wm_trial_loop.thisN,wm_trial_loop.thisIndex,wm_trial_loop.ran
y,26.27282,?,15.000985,0,0,0,0,0,1,stimuli/images/PICTURE_747.png,TOUGH,5e2872fffcdb020467d12799,27/05/1946,2020-07-09_21h09.53.795,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07792229c3d8392991e20a,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_697.png,KILLER,5e2872fffcdb020467d12799,27/05/1946,2020-07-09_21h09.53.795,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07792229c3d8392991e20a,4,0,0,0,4,1,peach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5e2872fffcdb020467d12799,27/05/1946,2020-07-09_21h09.53.795,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07792229c3d8392991e20a,4,0,1,1,0,1,chameleon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_727.png,CELL,5e2872fffcdb020467d12799,27/05/1946,2020-07-09_21h09.53.795,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07792229c3d8392991e20a,4,0,2,2,1,1,hose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_378.png,LOSS,5e2872fffcdb020467d12799,27/05/1946,2020-07-09_21h09.53.795,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07792229c3d8392991e20a,4,0,3,3,2,1,lobster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,?,15.01069,0,,,,,,stimuli/images/PICTURE_727.png,CELL,5e2872fffcdb020467d12799,27/05/1946,2020-07-09_21h09.53.795,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07792229c3d8392991e20a,4,,,,,,hose,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,YN,15.01258,0,,,,,,stimuli/images/PICTURE_378.png,LOSS,5e2872fffcdb020467d12799,27/05/1946,2020-07-09_21h09.53.795,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07792229c3d8392991e20a,4,,,,,,lobster,0,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,?,15.012455,0,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5e2872fffcdb020467d12799,27/05/1946,2020-07-09_21h09.53.795,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07792229c3d8392991e20a,4,,,,,,chameleon,0,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,N,15.01168,0,,,,,,stimuli/images/PICTURE_697.png,KILLER,5e2872fffcdb020467d12799,27/05/1946,2020-07-09_21h09.53.795,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07792229c3d8392991e20a,4,,,,,,peach,0,3,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,15.012665,0,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5e2872fffcdb020467d12799,27/05/1946,2020-07-09_21h09.53.795,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f07792229c3d8392991e20a,4,,,,,,crow,0,4,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
